file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,786b7796,EliNalebuff,2025-04-19,18:21:15,-07:00,2025-04-19T18:21:15-07:00,0,12
style.css,54,css,786b7796,EliNalebuff,2025-04-19,18:21:15,-07:00,2025-04-19T18:21:15-07:00,0,42
style.css,55,css,786b7796,EliNalebuff,2025-04-19,18:21:15,-07:00,2025-04-19T18:21:15-07:00,0,16
style.css,56,css,786b7796,EliNalebuff,2025-04-19,18:21:15,-07:00,2025-04-19T18:21:15-07:00,0,0
style.css,57,css,786b7796,EliNalebuff,2025-04-19,18:21:15,-07:00,2025-04-19T18:21:15-07:00,0,0
style.css,58,css,786b7796,EliNalebuff,2025-04-19,18:21:15,-07:00,2025-04-19T18:21:15-07:00,0,14
style.css,59,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,42
style.css,60,css,786b7796,EliNalebuff,2025-04-19,18:21:15,-07:00,2025-04-19T18:21:15-07:00,0,16
style.css,61,css,786b7796,EliNalebuff,2025-04-19,18:21:15,-07:00,2025-04-19T18:21:15-07:00,0,26
style.css,62,css,786b7796,EliNalebuff,2025-04-19,18:21:15,-07:00,2025-04-19T18:21:15-07:00,0,0
style.css,63,css,22a42b48,EliNalebuff,2025-04-19,18:10:24,-07:00,2025-04-19T18:10:24-07:00,0,0
style.css,64,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,21
style.css,65,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,8
style.css,66,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,13
style.css,67,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,8
style.css,68,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,23
style.css,69,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,16
style.css,70,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,9
style.css,71,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,10
style.css,72,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,73,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,74,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,10
style.css,75,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,36
style.css,76,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,18
style.css,77,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,12
style.css,78,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,17
style.css,79,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,16
style.css,80,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,16
style.css,81,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,21
style.css,82,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,25
style.css,83,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,84,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,85,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,16
style.css,86,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,42
style.css,87,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,16
style.css,88,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,89,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,90,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,18
style.css,91,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,29
style.css,92,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,11
style.css,93,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,16
style.css,94,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,95,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,96,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,13
style.css,97,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,10
style.css,98,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,13
style.css,99,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,8
style.css,100,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,59
style.css,101,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,28
style.css,102,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,12
style.css,103,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,104,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,105,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,13
style.css,106,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,17
style.css,107,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,19
style.css,108,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,11
style.css,109,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,22
style.css,110,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,18
style.css,111,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,11
style.css,112,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,113,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,114,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,18
style.css,115,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,59
style.css,116,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,18
style.css,117,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,41
style.css,118,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,12
style.css,119,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,13
style.css,120,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,16
style.css,121,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,27
style.css,122,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,12
style.css,123,css,22a42b48,EliNalebuff,2025-04-19,18:10:24,-07:00,2025-04-19T18:10:24-07:00,0,0
style.css,124,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,125,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,126,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,13
style.css,127,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,9
style.css,128,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,129,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,130,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,14
style.css,131,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,14
style.css,132,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,12
style.css,133,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,11
style.css,134,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,18
style.css,135,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,136,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,137,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,17
style.css,138,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,14
style.css,139,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,13
style.css,140,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,22
